Date	Pressure (Torr)	Pressure Statistical Error	Ignition Power (W)	Ignition Power Statistical Error	Ignition Voltage (V)	Ignition Voltage Statistical Error	Equilibrium Voltage (V)	Equilibrium Voltage Statistical Error	Extinction Voltage (V)	Extinction Voltage Statistical Error	Extinction Power (W)	Extinction Power Statistical Error
2/29/2016	0.3				540							
2/29/2016	0.29		54		530				320		6	
2/29/2016	0.091		14	1	424				170		2	1
3/2/2016	0.11	0.01	14	1	356	10			170	10	1	1
3/2/2016	0.1	0.01	13	1	350	10			168	8	1	1
3/2/2016	0.12	0.01	17	1	456	10	380	4	196	2	2	1
3/2/2016	0.14	0.02	24	1	232	4	440	4	232	4	2	1
4/5/2016	0.12	0.02	12	1	340	10	320	10	192	8	2	1
4/5/2016	0.1	0.02	13	1	400	10	344	4	156	4	1	1
4/5/2016	0.097	0.003	12	1	392	10	340	5	160	5	1	1
4/5/2016	0.094	0.006	12	1	392	10	340	5	160	5	1	1
4/5/2016	0.087	0.007	12	1	392	10	340	5	160	5	1	1
4/5/2016	0.083	0.008	13	1	400	10	350	5	200	5	1	1
4/5/2016	0.079	0.007	14	1	400	10	356	5	160	10	1	1
4/5/2016	0.076	0.006	13	1	400	10	356	5	160	10	1	1
4/5/2016	0.072	0.006	12	1	392	10	348	5	160	5	1	1
4/5/2016	0.13	0.002	24	1	512	10	436	1	232	5	2	1
4/5/2016	0.17	0.003	38	1	580	10	504	5	260	5	3	1
4/5/2016	0.24	0.002	51	1	650	25	556	5	284	5	4	1